Frame,HOG
pruebaC-10330.png,[0.         0.         0.         ... 0.01823226 0.0060929  0.1689739 ]
pruebaC-10331.png,[0.         0.         0.         ... 0.01906506 0.00637121 0.17669211]
pruebaC-10332.png,[0.         0.         0.         ... 0.01822229 0.00608957 0.16888152]
pruebaC-10333.png,[0.         0.         0.         ... 0.01908242 0.00637701 0.17685306]
pruebaC-10334.png,[0.         0.         0.         ... 0.01822229 0.00608957 0.16888152]
pruebaC-10335.png,[0.         0.         0.         ... 0.01842766 0.0061582  0.17078477]
pruebaC-10336.png,[0.         0.         0.         ... 0.01777873 0.00594134 0.1647706 ]
pruebaC-10337.png,[0.         0.         0.         ... 0.01842056 0.00615583 0.17071898]
pruebaC-10338.png,[0.         0.         0.         ... 0.0177677  0.00593765 0.16466841]
pruebaC-10339.png,[0.         0.         0.         ... 0.01841111 0.00615267 0.1706314 ]
pruebaC-10340.png,[0.         0.         0.         ... 0.01777196 0.00593908 0.1647079 ]
pruebaC-10341.png,[0.         0.         0.         ... 0.01523587 0.00509156 0.01925227]
pruebaC-10342.png,[0.         0.         0.         ... 0.01531834 0.00511912 0.01935647]
pruebaC-10343.png,[0.         0.         0.         ... 0.015178   0.00507222 0.01917914]
pruebaC-10344.png,[0.         0.         0.         ... 0.01504162 0.00502665 0.01900681]
pruebaC-10345.png,[0.         0.         0.         ... 0.01521738 0.00508538 0.01922891]
pruebaC-10346.png,[0.         0.         0.         ... 0.0152656  0.00510149 0.01928983]
pruebaC-10347.png,[0.         0.         0.         ... 0.01590116 0.00531389 0.02009294]
pruebaC-10348.png,[0.         0.         0.         ... 0.01438341 0.00479993 0.01996423]
pruebaC-10349.png,[0.         0.         0.         ... 0.01255615 0.00419015 0.0203604 ]
pruebaC-10350.png,[0.         0.         0.         ... 0.01348933 0.00450791 0.10999861]
pruebaC-10351.png,[0.         0.         0.         ... 0.01304725 0.00436017 0.10639367]
pruebaC-10352.png,[0.         0.         0.         ... 0.01352663 0.00452037 0.11030278]
pruebaC-10353.png,[0.         0.         0.         ... 0.01309709 0.00437683 0.10680014]
pruebaC-10354.png,[0.         0.         0.         ... 0.01352804 0.00452085 0.11031432]
pruebaC-10355.png,[0.         0.         0.         ... 0.01086902 0.00363225 0.09653196]
pruebaC-10356.png,[0.         0.         0.         ... 0.01060932 0.00354546 0.09422546]
pruebaC-10357.png,[0.         0.         0.         ... 0.01063575 0.00355429 0.09446016]
pruebaC-10358.png,[0.         0.         0.         ... 0.01060741 0.00354482 0.09420852]
pruebaC-10359.png,[0.         0.         0.         ... 0.01058094 0.00353597 0.09397343]
pruebaC-10360.png,[0.         0.         0.         ... 0.01130375 0.00377752 0.10039291]
pruebaC-10361.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10362.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10363.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10364.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10365.png,[0. 0. 0. ... 0. 0. 0.]
pruebaC-10366.png,[0. 0. 0. ... 0. 0. 0.]
